spkid,H,diameter,e,a,q,i,ad,albedo,spec_B,main_class
20000600,10.3,25.115,0.0547,2.659,2.514,10.2,2.8,0.227,S,S-type
20000606,10.4,35.758,0.2211,2.586,2.014,8.6,3.16,0.096,K,S-type
20000611,9.5,57.468,0.1241,2.976,2.607,13.45,3.35,0.124,L,S-type
20000622,10.34,21.874,0.2433,2.415,1.827,8.63,3.0,0.316,S,S-type
20000625,10.01,28.287,0.2273,2.646,2.045,12.08,3.25,0.221,Sa,S-type
20000631,8.66,50.491,0.0847,2.793,2.556,18.9,3.03,0.229,S,S-type
20000633,10.01,33.387,0.0845,3.019,2.764,10.9,3.27,0.203,S,S-type
20000638,10.12,59.594,0.1621,2.733,2.29,7.71,3.18,0.06,Ch,C-type
20000642,10.12,33.36,0.1286,3.187,2.777,8.17,3.6,0.1617,L,S-type
20000649,12.93,7.726,0.2784,2.547,1.838,12.71,3.26,0.345,Sq,S-type
20000653,9.34,49.793,0.0448,3.013,2.878,11.29,3.15,0.085,K,S-type
20000654,8.62,160.736,0.2313,2.297,1.766,18.1,2.83,0.027,Ch,C-type
20000661,9.79,40.081,0.0387,3.016,2.899,9.25,3.13,0.182,K,S-type
20000668,12.17,21.517,0.2343,2.796,2.141,6.84,3.45,0.042,Ch,C-type
20000670,9.5,35.886,0.1918,2.805,2.267,7.54,3.34,0.165,S,S-type
20000673,10.14,37.622,0.0088,2.815,2.79,2.88,2.84,0.092,S,S-type
20000674,7.47,96.171,0.1932,2.924,2.359,13.51,3.49,0.206,S,S-type
20000677,9.69,32.403,0.0485,2.956,2.812,8.49,3.1,0.313,Sl,S-type
20000679,9.16,63.909,0.31,2.587,1.785,24.41,3.39,0.11,K,S-type
20000716,10.94,19.768,0.0866,2.813,2.569,8.49,3.06,0.17,S,S-type
20000720,9.71,33.73,0.0186,2.886,2.833,2.35,2.94,0.2029,Sq,S-type
20000729,9.58,50.025,0.0965,2.759,2.493,18.05,3.03,0.133,L,S-type
20000735,9.91,67.976,0.3206,2.73,1.855,16.87,3.61,0.059,Ch,C-type
20000737,8.96,47.804,0.2441,2.591,1.958,12.37,3.22,0.231,S,S-type
20000742,9.64,47.087,0.1146,3.014,2.669,11.2,3.36,0.121,K,S-type
20000743,10.31,51.072,0.0594,2.792,2.626,4.84,2.96,0.068,Ch,C-type
20000749,11.61,11.065,0.1742,2.243,1.852,5.39,2.63,0.27,S,S-type
